*Action(SiteID=UK|Country=GB|Currency=GBP|Version=1193),Item number,Custom label (SKU),C:Accents,C:Arm (inches),C:Brand,C:Closure,C:Collar Style,C:Colour,C:Country of Origin,C:Department,C:Dress Length,C:Fabric Type,C:Fabric Wash,C:Features,C:Fit,C:Garment Care,C:Handmade,C:Inside Leg (inches),C:Leg Style,C:Length (inches),C:MPN,C:Material,C:Neckline,C:Occasion,C:Pattern,C:Personalise,C:Pit to Pit (inches),C:Pocket Type,C:Rise,C:Season,C:Size,C:Size Type,C:Skirt Length,C:Sleeve Length,C:Sleeve Type,C:Strap Type,C:Style,C:Type,C:Vintage,C:Waist Laying Flat (inches)
Revise,318848479529,QTN02-002-357,,24,Rick Owens,,,Black,France,Women,,Woven,,,,,,,,32,Does Not Apply,Viscose,Boat Neck,,Solid,,27,,,,EU 38,Regular,,Long Sleeve,,,Basic,Blouse,,
Revise,318848479531,QTN02-002-381,,,Rick Owens,,,Blue,,Women,,Denim,,,,,,,,28,Does Not Apply,Cotton|Polyester,,Casual,Solid,,13,,,Spring|Summer,EU 38,Regular,,Sleeveless,Sleeveless,,Basic,Blouse,,
Revise,137717943446,QTN02-002-382,,,Rick Owens,,,Silver,Italy,Women,,Denim,,,Extra-Slim,,,,,,Does Not Apply,Elastane|Cotton,,Party/Cocktail,Solid,,,,,Autumn|Winter,8,Regular,,Sleeveless,,Strapless,Basic,Tank,,
Revise,137717943443,QTN02-002-629,,23.5,Thom Browne,,,Blue,Italy,Women,,Jersey,,,,,,,,22.5,Does Not Apply,100% Cotton,Crew Neck,Casual,Solid,,16.5,,,Autumn|Winter,EU 40,Regular,,Long Sleeve,Long Sleeve,,Basic,Blouse,,
Revise,137717943447,QTN02-002-740,,6.5,Y PROJECT,,,White,Bulgaria,Women,,Jersey,,,,,,,,21,Does Not Apply,Cotton|Elastane,,,Solid,,14,,,,M,Regular,,Short Sleeve,Short Sleeve,,,T-Shirt,,
Revise,318848479543,QTN02-002-748,Button,26,ZIMMERMANN,Button,,Red,China,Women,,Woven,,,,,,,,27.5,Does Not Apply,Viscose,,Casual,,,24,,,,8,Regular,,Long Sleeve,Long Sleeve,,Basic,Blouse,,
Revise,137718561425,QTN02-001-491,,,ENDLESS JOY,,,Multicoloured,Italy,Men,,Canvas,,Pockets,Relaxed,,,29,Straight,42,Does Not Apply,Cotton,,Casual,No Pattern,,,5-Pocket Design,,Autumn|Spring,XL,Regular,,,,,Chino,Trousers,,17
Revise,366658099369,QTN02-002-384,Buckle,,ROA,Buckle,,Black,Portugal,Men,,,,,Regular,,No,32,,44,Does Not Apply,Cotton|Polyester|Polyamide|Elastane,,Casual,No Pattern,No,,,,,S,Regular,,,,,Chino,Trousers,No,15
Revise,366656369761,QTN02-002-631,,,THOM BROWNE,Button|Zip,,Black,Italy,Men,,Canvas,,Pockets,,,,27,,38.5,Does Not Apply,Cotton,,Casual|Workwear,No Pattern,,,5-Pocket Design,,Autumn|Spring,M,Regular,,,,,Chino,Trousers,No,18
Revise,318847666061,QTN02-001-126,,11.5,AMIRI,,,Black,United Kingdom,Men,,Woven,,,Regular,,,,,28,Does Not Apply,Polyester,,Casual,Solid,,21,,,,M,Regular,,,,,,Button-Up,,
Revise,137717192507,QTN02-001-181,Button,10.5,Balmain,Button,Spread,Black,Italy,Men,,Rayon,,,Regular,,,,,28.5,Does Not Apply,Viscose,Collared,Casual,Paisley,,23,,,Spring|Summer,XL,Regular,,Short Sleeve,,,,Button-Up,No,
Revise,318847666094,QTN02-001-184,,9.5,Balmain,,,White,Italy,Men,,Knit,,,Regular,,,,,31,Does Not Apply,Cotton,,Casual,Graphic Print,,23,,,Spring|Summer,L,Regular,,Short Sleeve,,,,Button-Up,No,
Revise,366658099310,QTN02-001-257,Button,25,CARTER YOUNG,Button,,Blue,Italy,Men,,Twill,,,Classic,,,,,31,Does Not Apply,Cotton,,Business|Casual|Workwear,,,23,,,,M,Regular,,,,,,Button-Up,,
Revise,318847666126,QTN02-001-259,Button,11,Casablanca,Button,Band,White,Italy,Men,,Satin,,,Regular,,,,,28,Does Not Apply,Silk,,Casual,Solid,,22,,,Spring|Summer,M,Regular,,Short Sleeve,,,,Button-Up,No,
Revise,318847666121,QTN02-001-261,,10,Casablanca,,,Black,Italy,Men,,Knit,,,Regular,,,,,30,Does Not Apply,Cotton,,Casual,Graphic Print,,24,,,Spring|Summer,2XL,Regular,,Short Sleeve,,,,Button-Up,No,
Revise,137717192614,QTN02-001-265,,9.5,Casablanca,,,White,Vietnam,Men,,Knit,,,Regular,,,,,28,Does Not Apply,Cotton,,Casual,Graphic Print,,20,,,Spring|Summer,S,Regular,,Short Sleeve,,,,Button-Up,No,
Revise,137718561420,QTN02-001-266,,30,Casablanca,,,Black,Portugal,Men,,Jersey,,,Regular,,,,,27,Does Not Apply,Polyester|Cotton,,Casual,,,21,,,Autumn|Spring,M,Regular,,Long Sleeve,,,,Button-Up,No,
Revise,318847666147,QTN02-001-276,,9,CHARLIE CONSTANTINOU,,,Brown,United States,Men,,Rayon,,,Athletic,,,,,25,Does Not Apply,Viscose,,Casual,Solid,,20,,,Spring|Summer,L,Regular,,Sleeveless,,,,Button-Up,,
Revise,366658099321,QTN02-001-326,Button,24,COMME DES GARÇONS SHIRT,Button,Button-Down,Blue,South Korea,Men,,Woven,,,Regular,,,,,30,Does Not Apply,Cotton,,Casual,Striped,,21,,,Spring|Autumn,S,Regular,,Long Sleeve,,,,Button-Up,No,
Revise,137717192687,QTN02-001-756,Button,,Jacquemus,Button,Spread,White,Vietnam,Men,,Twill,,,Regular,,,,,,Does Not Apply,Cotton,,Casual,Graphic Print,,,,,Spring|Summer,EU 52,Regular,,Short Sleeve,,,,Button-Up,,
Revise,318847666211,QTN02-001-944,,11.5,LU'U DAN,,,Multicoloured,Portugal,Men,,Woven,,,Regular,,,,,32,Does Not Apply,Elastane|Polyester,,Casual,Graphic Print,,29,,,Spring|Summer,XL,Regular,,,,,,Button-Up,,
Revise,137717192705,QTN02-002-054,,26,MARTINE ROSE,,,Grey,Bangladesh,Men,,Woven,,,Classic,,,,,31,Does Not Apply,Polyester,,,Solid,,21,,,,XS,Regular,,,,,,Button-Up,,
Revise,366658099329,QTN02-002-057,,12,MARTINE ROSE,,,White,Cambodia,Men,,Woven,,,Regular,,,,,33,Does Not Apply,Cotton,,Casual,Solid,,27.5,,,Spring|Summer,L,Regular,,Short Sleeve,,,,Button-Up,No,
Revise,137735741055,QTN02-002-196,Button,24.5,OUR LEGACY,Button,Button-Down,Beige,China,Men,,Woven,,,Relaxed,,,,,33.5,Does Not Apply,Cotton,Collared,Casual,Solid,,31,,,Spring|Autumn,EU 52,Regular,,Long Sleeve,,,,Button-Up,,
Revise,137717192722,QTN02-002-197,Button,24,OUR LEGACY,Button,Button-Down,Beige,China,Men,,Woven,,,Relaxed,,,,,32,Does Not Apply,Cotton,,Casual,Solid,,30,,,Spring|Autumn,EU 48,Regular,,Long Sleeve,,,,Button-Up,No,
Revise,137717192746,QTN02-002-206,,26.5,OUR LEGACY,,,Multicoloured,,Men,,Rayon,,,Regular,,,,,31,Does Not Apply,Viscose,,Casual,Graphic Print,,27,,,,EU 50,Regular,,Long Sleeve,,,,Button-Up,,
Revise,137736025145,QTN02-002-297,Button,27,PRADA,Button,Button-Down,Yellow,Italy,Men,,Woven,,,Classic,,,,,32,Does Not Apply,Cotton,Collared,Casual|Business,Solid,,24.5,,,Spring|Summer|Autumn,EU 42,Regular,,Long Sleeve,,,,Button-Up,No,
Revise,137717192770,QTN02-002-311,,8,PURPLE BRAND,,,White,,Men,,Knit,,,Regular,,,,,31.5,Does Not Apply,Cotton,Crew Neck,Casual,Graphic Print,,24,,,Spring|Summer,XL,Regular,,Short Sleeve,,,,Button-Up,,
Revise,366658099358,QTN02-002-348,,9,RHUDE,,,Black,United States,Men,,Knit,,,Regular,,,,,28,Does Not Apply,Cotton,,Casual,Graphic Print,,21.5,,,Spring|Summer,M,Regular,,Short Sleeve,,,,Button-Up,,
Revise,137717192779,QTN02-002-349,,5,RHUDE,,,White,,Men,,,,,Regular,,,,,29,Does Not Apply,Viscose|Cotton,,Casual,Solid,,26,,,Spring|Summer,M,Regular,,Short Sleeve,,,,Button-Up,,
Revise,366658099365,QTN02-002-371,,,RICK OWENS DRKSHDW,,,Black,Italy,Men,,Jersey,,,Relaxed,,,,,34,Does Not Apply,Cotton,,Casual,Solid,,24,,,Spring|Summer,XS,Regular,,Sleeveless,,,,Button-Up,No,
Revise,137717192790,QTN02-002-496,Ruffle,11,Simone Rocha,,,Green,,Men,,Knit,,,Regular,,,,,29.5,Does Not Apply,Cotton,,Casual,Solid,,25,,,Spring|Summer,L,Regular,,Short Sleeve,,,,Button-Up,,
Revise,318847666366,QTN02-002-584,,8,Stone Island,,,Green,,Men,,Jersey,,,Regular,,,,,26.5,Does Not Apply,Cotton,,Casual,Solid,,20,,,Spring|Summer,M,Regular,,Short Sleeve,,,,Button-Up,No,
Revise,318847666376,QTN02-002-617,,8,THE ROW,,,Blue,,Men,,Twill,,,Regular,,,,,29.5,Does Not Apply,Cotton,,Casual,,,23,,,Spring|Summer,M,Regular,,Short Sleeve,,,,Button-Up,No,
Revise,366658099386,QTN02-002-643,,8,Tom Ford,,,Blue,Portugal,Men,,,,,Regular,,,,,27,Does Not Apply,Polyester|Cotton,Crew Neck,Casual,Solid,,18.5,,,Autumn|Winter,EU 48,Regular,,,,,,Button-Up,,
Revise,318847666416,QTN02-002-647,Button,26.5,Tom Ford,Button,,White,Italy,Men,,Woven,,,Classic,,,,,30,Does Not Apply,Cotton,,Casual|Business,Solid,,17.5,,,Spring|Summer|Autumn,XS,Regular,,,,,,Button-Up,No,
Revise,137718561471,QTN02-002-645,Logo,,TOM FORD,Drawstring,,Red,,Women,,Satin,,,,,,34.5,,46,Does Not Apply,Elastane|Silk,,,Solid,,14,,,Spring|Summer|Autumn,S,Regular,,,,,Chemise,Lounge Set,,14
Revise,137717192878,QTN02-001-087,Bow,10,ALESSANDRA RICH,,,Blue,Bangladesh,Women,Midi,,,Collared,,,,,,50,Does Not Apply,Polyester|Polyamide|Silk,V-Neck,Casual|Party/Cocktail,Floral,,17,,,Spring|Summer,38,Regular,,Short Sleeve,,,Shift,,,
Revise,318847666489,QTN02-001-273,Logo,,CELINE,,,Black,Vietnam,Women,Midi,Woven,,Cut Out|Graphic Print,,,,,,34.5,Does Not Apply,Silk|Polyurethane|Polyamide,Round Neck,Casual|Party/Cocktail,,,12.5,,,Spring|Summer,L,Regular,,Sleeveless,,,Mini,,,
Revise,366658099471,QTN02-001-431,,,DÔEN,,,Green,Türkiye,Women,Midi,Woven,,Straps,,,,,,48,Does Not Apply,100% Cotton,Square Neck,Casual,Floral,,15,,,Spring|Summer,S,Regular,,,Strappy Sleeve,,A-Line,,No,
Revise,137717192929,QTN02-001-482,,6,ELENA VELEZ,,,Beige,Italy,Women,Midi,Woven,,,,,No,,,49,Does Not Apply,Linen|Cotton,,Casual,No Pattern,No,19,,,Spring|Summer,6,Regular,,Short Sleeve,,,Shift,,No,
Revise,366658099504,QTN02-001-508,,21,Farm Rio,,,Orange,United States,Women,Short,Woven,,,,,No,,,35,Does Not Apply,Linen,,Casual,,No,23,,,Spring|Summer,S,Regular,,,,,Mini,,No,
Revise,137717192970,QTN02-001-884,,,Khaite,,,White,United Kingdom,Women,Midi,Woven,,,,,,,,,Does Not Apply,100% Cotton,,Casual,No Pattern,,,,,Spring|Summer,2,Regular,,Sleeveless,,,Sheath,,,
Revise,366658099536,QTN02-001-908,,,Khaite,Zip,,Black,China,Women,Midi,,,Straps,,,,,,52,Does Not Apply,Polyester|Silk|Polyamide|Viscose,,Party/Cocktail|Formal,No Pattern,,22,,,Spring|Summer|Autumn,M,Regular,,Sleeveless,Strapless,,Bodycon,,,
Revise,137717192999,QTN02-001-961,,,MAGDA BUTRYM,,,Multicoloured,United Kingdom,Women,Short,Woven,,,,,,,,29,Does Not Apply,100% Silk,,Casual|Party/Cocktail,Colourblock,,16,,,Spring|Summer,8,Regular,,,,,Mini,,,
Revise,366658099548,QTN02-002-090,,8,Miu Miu,,,White,Italy,Women,Midi,Woven,,,,,,,,33,Does Not Apply,100% Cotton,V-Neck,Casual|Party/Cocktail,No Pattern,,19,,,Spring|Summer,EU 40,Regular,,Sleeveless,,,Tank Dress,,,
Revise,137717193027,QTN02-002-472,,7.5,Self-Portrait,,,Purple,,Women,Short,Knit,,,,,No,,,33,Does Not Apply,Viscose|Elastane|Polyamide|Polyester,,Casual|Party/Cocktail,No Pattern,No,15,,,Spring|Summer,S,Regular,,,,,Mini,,No,
Revise,137717193038,QTN02-002-474,Rhinestone,,Self-Portrait,,,Green,,Women,Midi,Mesh,,Sheer,,,,,,54,Does Not Apply,Polyester|Elastane,,Party/Cocktail|Formal,No Pattern,,14,,,Spring|Summer,8,Regular,,,,,Sheath,,,
Revise,318847666724,QTN02-002-751,,9,ZIMMERMANN,,,Multicoloured,,Women,Midi,Lace,,,,,,,,36,Does Not Apply,Elastane|Polyester,,Casual|Party/Cocktail,Floral,,25,,,Spring|Summer,12,Regular,,Short Sleeve,,,Mini,,No,
Revise,137717193138,QTN02-002-753,,14,ZIMMERMANN,Tie,,Multicoloured,China,Women,Midi,,,,,,No,,,52,Does Not Apply,Polyester|Elastane|Ramie,High Neck,Casual|Party/Cocktail,Paisley,No,51,,,Autumn|Spring,8,Regular,,Long Sleeve,,,Shift,,No,
Revise,318847666483,QTN02-001-205,,,BODE,,,Red,Italy,Women,,,,,,,,29,,41,Does Not Apply,Cotton|Viscose,,Casual,No Pattern,,,,,Spring|Autumn,29,Regular,,,,,Dress Pants,Trousers,No,16
Revise,366658814677,QTN02-001-469,,,DRIES VAN NOTEN,,,Beige,Türkiye,Women,,Canvas,,,,,,34.5,,47.5,Does Not Apply,Cotton,,Casual,No Pattern,,,,,Spring|Summer,36,Regular,,,,,Windbreaker,Trousers,,15.5
Revise,366658099542,QTN02-001-974,,,MAISON LA PLAGE,,,Green,Bangladesh,Women,,,,,,,,32,Wide-Leg,44,Does Not Apply,Polyamide|Viscose,,Casual|Travel,Geometric,,,,,Spring|Summer,S,Regular,,,,,Windbreaker,Trousers,No,15
Revise,318869648075,QTN02-002-005,,,MAISON LA PLAGE,,,Multicoloured,China,Women,,Crepe,,,,,,31,Wide-Leg,41.5,Does Not Apply,Polyamide|Viscose,,Casual|Party/Cocktail,Animal Print,,,,,Spring|Summer,S,Regular,,,,,Windbreaker,Trousers,No,12
Revise,137713908873,QTN02-002-630,Logo,,Thom Browne,,,Grey,Italy,Women,,Jersey,,Pockets,,,,30,,38,Does Not Apply,Cotton,,Casual,No Pattern,,,,,Autumn|Winter,EU 40,Regular,,,,,Jogger,Trousers,No,17
Revise,366658099605,QTN02-002-747,,,ZIMMERMANN,,,Green,,Women,,Crepe,,Elastic Waist|Pockets,Relaxed,,,30,Wide-Leg,43,Does Not Apply,Silk,,Casual,Floral,,,,,Spring|Summer,8,Regular,,,,,Sweatpants,Trousers,No,15
Revise,366668274363,QTN02-001-092,,,Alexander McQueen,,,Black,Italy,Women,,Twill,,Pockets,,,,,,16.5,Does Not Apply,Wool,,Casual|Workwear,No Pattern,,,,,Autumn|Winter,EU 40,Regular,Midi,,,,Flare,Skirt,,14
Revise,318869648073,QTN02-001-180,Button,,Balmain,Button,,Pink,Türkiye,Women,,Knit,,Pockets,,,,,,,Does Not Apply,Viscose|Polyester,,Casual|Workwear,No Pattern,,,,,Autumn|Winter,EU 36,Regular,Midi,,,,Straight & Pencil,Skirt,,
Revise,137713908874,QTN02-001-182,Button,,Balmain,Button,,Beige,Italy,Women,,Tweed,,Lined,,,,,,17,Does Not Apply,Cotton|Acrylic|Polyamide|Viscose,,Casual|Workwear,No Pattern,,,,,Autumn|Winter,EU 34,Regular,Short,,,,Mini,Skirt,,12
Revise,318847666474,QTN02-001-183,,,Balmain,,,White,Italy,Women,,Knit,,,,,,,,31,Does Not Apply,Viscose|Polyester,,Casual,No Pattern,,,,,Autumn|Winter,EU 34,Regular,Midi,,,,Straight & Pencil,Skirt,,11.5
Revise,366668274365,QTN02-002-392,,,ROTATE,,,Blue,,Women,,Denim,,,,,,,,17.5,Does Not Apply,Cotton,,Casual,No Pattern,,,,,Spring|Summer|Autumn,EU 42,Regular,Short,,,,A-Line,Skirt,,16
Revise,366658099587,QTN02-002-490,Ruffle|Embroidered|Layered,,Simone Rocha,,,White,Portugal,Women,,Lace,,Full|Lined,,,No,,,24,Does Not Apply,Polyester|Cotton,,Casual|Party/Cocktail,No Pattern,No,,,,Spring|Summer,8,Regular,Midi,,,,Mini,Skirt,No,15
Revise,366658099602,QTN02-002-749,,,ZIMMERMANN,,,Brown,,Women,,Satin,,Elastic Waist|Full,,,,30,,44,Does Not Apply,Silk,,Casual,,,,,,Spring|Summer,10,Regular,Long,,,,Flare,Skirt,,16
Revise,366658099437,QTN02-001-091,Logo,24.5,Alexander McQueen,,,Black,Italy,Women,,,,,,,,,,21.5,Does Not Apply,Cotton|Silk|Polyamide,Crew Neck,Casual,Animal Print,,15,,,Autumn|Winter,S,Regular,,Long Sleeve,,,Pullover,Jumper,No,
Revise,366668274373,QTN02-001-562,,10.5,Gianni,,,Blue,Italy,Women,,Knit,,Lightweight,,,,,,23,Does Not Apply,Wool|Polyamide,Crew Neck,Casual,Animal Print,,21,,,Autumn|Winter,L,Regular,,Short Sleeve,,,Pullover,Jumper,,
Revise,137717193032,QTN02-002-295,,19.5,PRADA,,,Brown,Italy,Women,,Knit,,,,,,,,19.5,Does Not Apply,100% Wool,V-Neck,Casual|Workwear,No Pattern,,18,,,Autumn|Winter,EU 40,Regular,,Long Sleeve,,,Pullover,Jumper,No,
Revise,366668274367,QTN02-002-628,Strap,23,Thom Browne,,,Blue,Italy,Women,,Knit,,,,,,,,23.5,Does Not Apply,100% Cotton,V-Neck,Casual,No Pattern,,18.5,,,Autumn|Spring,EU 40,Regular,,Long Sleeve,,,Cardigan,Jumper,,
